run,temp,temppoor,temp2,temp2poor,prec,precpoor,prec2,prec2poor
162,.0078392,.0053622,-.0000438,-.0003291,.0000154,.0000117,-8.95e-09,-4.21e-09
163,.0095751,.0582422,-.0002847,-.0014788,-6.65e-06,.0000236,1.53e-09,-7.00e-09
164,.0182486,.1214046,-.0008722,-.0027705,-1.99e-06,.0000218,-3.54e-10,-5.36e-09
165,.0112496,.0145238,-.0003693,-.0004589,1.91e-06,.0000141,-3.94e-09,-6.63e-09
166,.0044008,.0426073,-.0000629,-.0009487,-.0000243,.000023,8.47e-09,-7.70e-09
167,.0053595,.0174226,-.0000667,-.0007255,-9.50e-06,.0000336,1.30e-09,-9.21e-09
168,.0042698,.027326,-.0001081,-.0008655,-.0000315,.0000172,9.53e-09,-6.20e-09
169,.0097343,.0354946,-.0005146,-.000993,4.13e-06,.0000149,-3.06e-09,-4.37e-09
170,.0071852,.010006,-.0002779,-.0004162,9.82e-06,.0000188,-1.60e-09,-7.54e-09
171,.0043043,-.0041323,-.0001688,.0001061,-2.88e-06,.0000333,-2.87e-10,-1.21e-08
172,.010507,.0169679,-.0005293,-.0006073,.000018,.000028,-6.96e-09,-4.73e-09
173,.0079477,.0178608,-.0002632,-.0007443,7.41e-06,.0000253,2.69e-09,-6.38e-09
174,.0064864,.0182438,-.000381,-.0005903,7.42e-06,4.32e-06,-3.30e-09,-2.22e-09
175,.017812,.0139916,-.0006265,-.0006432,.000013,.0000154,-7.41e-09,-3.66e-09
176,.0101709,.0588259,-.000427,-.0015369,6.75e-06,.0000296,-1.95e-09,-8.32e-09
177,.0043402,.0444176,-.0000212,-.0011895,-.0000222,.0000344,6.94e-09,-8.96e-09
178,.0124013,.032722,-.000255,-.0010526,.0000112,.0000429,-8.45e-10,-1.52e-08
179,.0046283,.0266586,-.0003125,-.0007932,.0000103,.0000142,-1.20e-09,-2.83e-09
180,.0087971,.0023691,-.0004673,-.0001701,-.0000101,.0000257,9.87e-11,-8.38e-09
181,.0200797,.0146038,-.0006892,-.0006962,-.0000153,.0000437,1.16e-09,-1.12e-08
182,.0042383,.0988002,-.0001558,-.0023046,8.61e-06,.0000348,-6.60e-09,-9.09e-09
183,.0123289,.0045618,-.000608,-.0003358,-.0000134,.0000488,3.75e-09,-1.46e-08
184,.0135232,.0429171,-.0005384,-.0011764,.0000149,.0000424,-4.05e-09,-1.14e-08
185,.0081606,.0398567,-.0003408,-.0012302,-1.70e-06,.0000244,-4.50e-10,-1.01e-08
186,.0160794,.0147613,-.0006492,-.0004838,-4.25e-06,.0000394,-8.30e-10,-9.79e-09
187,.0099502,.0225624,-.0004112,-.0007677,.0000121,.0000412,-3.35e-09,-1.26e-08
188,.0074919,.0107398,-.0002398,-.00057,-.0000118,-3.77e-06,1.69e-09,-5.74e-10
189,.02042,.0438647,-.000722,-.0011083,.0000222,.0000348,-6.30e-09,-1.04e-08
190,-.0001144,.0279036,-.0000704,-.0007906,6.25e-06,.0000268,-4.59e-09,-8.61e-09
191,.0065778,.0224599,-.000206,-.0007645,-5.22e-07,.0000286,1.82e-11,-1.03e-08
